INFO:root:Dataset: 4267 nodes, 2135822 edges
INFO:root:Train edges: 1067911
INFO:root:Valid edges: 133489 pos, 101882 neg
INFO:root:Test edges: 133489 pos, 95599 neg
INFO:root:Loading external features...
INFO:src.data.external_features:Loading cached Morgan features from data/morgan_features.pt
INFO:src.data.external_features:  Morgan fingerprints: 2048 dims
INFO:src.data.external_features:Loaded PubChem features: shape=(4267, 9)
INFO:src.data.external_features:  PubChem properties: 9 dims
INFO:src.data.external_features:Loaded ChemBERTa features: shape=torch.Size([4267, 768])
INFO:src.data.external_features:  ChemBERTa embeddings: 768 dims
INFO:src.data.external_features:Loaded drug-target features: shape=torch.Size([4267, 229])
INFO:src.data.external_features:  Drug-target features: 229 dims
INFO:src.data.external_features:Combined features: 3054 dims total
INFO:root:Loaded features: {'morgan': 2048, 'pubchem': 9, 'chemberta': 768, 'drug_targets': 229}
INFO:root:Total feature dimension: 3054
INFO:root:================================================================================
INFO:root:Model Configuration:
INFO:root:  architecture: GCN + MLP
INFO:root:  num_layers: 2
INFO:root:  hidden_channels: 256
INFO:root:  dropout: 0.5
INFO:root:  fusion: concat
INFO:root:  external_features: ['morgan', 'pubchem', 'chemberta', 'drug_targets']
INFO:root:Training Configuration:
INFO:root:  epochs: 2000
INFO:root:  lr: 0.005
INFO:root:  batch_size: 65536
INFO:root:  eval_steps: 5
INFO:root:  runs: 1
INFO:root:================================================================================
INFO:root:[GCN] Epoch 0635 | loss 0.1581 | val@20 0.5962 | test@20 0.4366 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0640 | loss 0.1579 | val@20 0.6072 | test@20 0.5448 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0645 | loss 0.1576 | val@20 0.5773 | test@20 0.4061 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0650 | loss 0.1594 | val@20 0.5579 | test@20 0.3344 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0655 | loss 0.1587 | val@20 0.6611 | test@20 0.5734 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0660 | loss 0.1593 | val@20 0.5976 | test@20 0.4778 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0665 | loss 0.1562 | val@20 0.6457 | test@20 0.3935 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0670 | loss 0.1556 | val@20 0.6265 | test@20 0.5036 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0675 | loss 0.1567 | val@20 0.5436 | test@20 0.3592 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0680 | loss 0.1555 | val@20 0.5857 | test@20 0.5624 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0685 | loss 0.1574 | val@20 0.5711 | test@20 0.3937 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0690 | loss 0.1598 | val@20 0.6546 | test@20 0.5902 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0695 | loss 0.1574 | val@20 0.6221 | test@20 0.5176 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0700 | loss 0.1564 | val@20 0.5272 | test@20 0.3295 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0705 | loss 0.1568 | val@20 0.6106 | test@20 0.4260 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0710 | loss 0.1560 | val@20 0.5627 | test@20 0.4865 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0715 | loss 0.1559 | val@20 0.6106 | test@20 0.5593 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0720 | loss 0.1595 | val@20 0.6482 | test@20 0.3882 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0725 | loss 0.1557 | val@20 0.6529 | test@20 0.5833 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0730 | loss 0.1547 | val@20 0.6421 | test@20 0.3891 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0735 | loss 0.1564 | val@20 0.5912 | test@20 0.5356 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0740 | loss 0.1552 | val@20 0.5864 | test@20 0.4546 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0745 | loss 0.1568 | val@20 0.5781 | test@20 0.5267 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0750 | loss 0.1575 | val@20 0.6295 | test@20 0.7584 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0755 | loss 0.1532 | val@20 0.6379 | test@20 0.4561 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0760 | loss 0.1565 | val@20 0.6301 | test@20 0.4073 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0765 | loss 0.1564 | val@20 0.6185 | test@20 0.4770 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0770 | loss 0.1558 | val@20 0.6418 | test@20 0.4693 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0775 | loss 0.1554 | val@20 0.6312 | test@20 0.4401 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0780 | loss 0.1549 | val@20 0.6189 | test@20 0.4613 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0785 | loss 0.1540 | val@20 0.6545 | test@20 0.6877 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0790 | loss 0.1544 | val@20 0.6255 | test@20 0.5268 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0795 | loss 0.1547 | val@20 0.6084 | test@20 0.5355 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0800 | loss 0.1537 | val@20 0.6413 | test@20 0.5151 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0805 | loss 0.1535 | val@20 0.6325 | test@20 0.5895 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0810 | loss 0.1551 | val@20 0.6240 | test@20 0.4009 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0815 | loss 0.1550 | val@20 0.5349 | test@20 0.5628 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0820 | loss 0.1528 | val@20 0.5649 | test@20 0.6784 | best 0.6611 (ep 655)
INFO:root:[GCN] Epoch 0825 | loss 0.1533 | val@20 0.6341 | test@20 0.5852 | best 0.6611 (ep 655)
